"id";"price";"rent";"area";"price_per_sq_m";"no_rooms";"building_type";"no_floor";"building_floors_num";"windows_type";"construction_status";"building_ownership";"lat";"long";"district";"built_year";"url";"rent_per_sq_m";"lift";"balcony";"garage";"basement";"separate_kitchen";"usable_room";"air_conditioning";"terrace";"garden";"two_storey";"is_primary";"date_scraped"
5704095320146437293;930000.0;;61.0;15246.0;3;"Apartment";2;5;"Unknown";"Ready To Use";"Full Ownership";52.25317;21.06623;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/garaz-1-000zl-od-dewelopera-praga-poludnie-ID4zmZ5";;1;1;1;0;0;1;0;0;0;0;1;"2026-01-01"
-2103067433420464572;470000.0;;20.0;23500.0;1;"Block";4;10;"Unknown";"Ready To Use";"Full Ownership";52.2302;21.0526;"Praga-Poludnie";1970;"https://www.otodom.pl/pl/oferta/saska-kepa-super-inwestycja-kawalerka-z-balkonem-ID4zn9g";;1;1;0;0;1;0;0;0;0;0;0;"2026-01-01"
5746871462593605991;660000.0;;39.81;16579.0;2;"Apartment";3;4;"Plastic";"To Completion";"Unknown";52.2540174;21.0722532;"Praga-Poludnie";2025;"https://www.otodom.pl/pl/oferta/2-pok-39-81-garaz-i-komorka-gotowe-do-odbioru-ID4xEx3";;1;1;1;1;0;0;0;0;0;0;0;"2026-01-01"
8244584231783342458;1049000.0;750.0;56.0;18732.0;3;"Block";10;14;"Wooden";"Ready To Use";"Full Ownership";52.2311962;21.090957946558;"Praga-Poludnie";2012;"https://www.otodom.pl/pl/oferta/goclaw-atrium-56-m2-3-pokojowe-wykonczone-balkon-zabudowany-ID4x3wm";13.392857142857142;1;1;0;0;0;0;0;0;0;0;0;"2026-01-01"
4997796220689036174;1326000.0;1100.0;62.92;21074.0;3;"Block";7;8;"Unknown";"Ready To Use";"Full Ownership";52.25006;21.07685;"Praga-Poludnie";1961;"https://www.otodom.pl/pl/oferta/2-poziomy-wysoki-standard-metro-minska-100m-ID4zmqI";17.482517482517483;1;1;0;1;0;0;1;0;0;0;0;"2026-01-01"
3905028364355971641;640000.0;700.0;56.5;11327.0;4;"Block";6;6;"Unknown";"Ready To Use";"Unknown";52.2327051;21.0780278;"Praga-Poludnie";1972;"https://www.otodom.pl/pl/oferta/mieszkanie-56-50-m-warszawa-ID4zmDU";12.389380530973451;1;1;0;1;0;1;0;0;0;0;0;"2026-01-01"
7913856494036396605;899000.0;750.0;74.1;12132.0;3;"Block";7;11;"Plastic";"To Renovation";"Limited Ownership";52.22699;21.10487;"Praga-Poludnie";1987;"https://www.otodom.pl/pl/oferta/rodzinne-3-pokoje-na-goclawiu-74-m-dwustronne-swietne-polozenie-ID4zmt6";10.121457489878543;1;0;0;1;0;0;0;0;0;0;0;"2026-01-01"
1172828794432554414;849000.0;567.0;42.0;20214.0;2;"Apartment";9;17;"Plastic";"Ready To Use";"Full Ownership";52.230924859466;21.112072451564;"Praga-Poludnie";2021;"https://www.otodom.pl/pl/oferta/dwupokojowe-w-apartamentowcu-do-wprowadzenia-ID4zmQO";13.5;1;1;1;0;0;0;0;1;0;0;0;"2026-01-01"
8769821554847713842;569000.0;390.0;34.0;16735.0;1;"Block";3;4;"Plastic";"Ready To Use";"Full Ownership";52.2504758;21.0800895;"Praga-Poludnie";1965;"https://www.otodom.pl/pl/oferta/drewniany-parkiet-buknowe-wnetrzekamienica-ID4zmCX";11.470588235294118;0;0;1;1;0;0;0;0;0;0;0;"2026-01-01"
489227533036368034;749000.0;470.0;61.0;12279.0;2;"Tenement";3;3;"Aluminium";"Ready To Use";"Full Ownership";52.2383952;21.0996897;"Praga-Poludnie";1937;"https://www.otodom.pl/pl/oferta/mieszkanie-grochow-plac-szembeka-ID4zmYN";7.704918032786885;0;0;1;1;1;1;0;0;1;1;0;"2026-01-01"
